            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2461395.833333333, A.D. 2026-Dec-21 08:00:00.0000,  1.972218588628811E-02,  9.878443520451693E-01,  5.641336386075271E-04, -1.756236292901782E-02,  2.670002185454852E-04, -1.747384939610191E-05,  5.706451038512387E-03,  9.880413689367646E-01, -8.362340746796167E-05,
2461396.833333333, A.D. 2026-Dec-22 08:00:00.0000,  2.155650034513997E-03,  9.879574790617685E-01,  5.463638076414186E-04, -1.756981147666781E-02, -4.077149728802609E-05, -1.806236261163665E-05,  5.705980986010487E-03,  9.879599818689857E-01, -7.911731289730757E-05,
2461397.833333333, A.D. 2026-Dec-23 08:00:00.0000, -1.541564107130483E-02,  9.877627744487435E-01,  5.280158733541768E-04, -1.757187201467549E-02, -3.486470747468315E-04, -1.862999508004293E-05,  5.705537538328433E-03,  9.878832012829660E-01, -7.441038248639325E-05,
2461398.833333333, A.D. 2026-Dec-24 08:00:00.0000, -3.298629514519445E-02,  9.872601818591298E-01,  5.091108972437148E-04, -1.756853605493786E-02, -6.565319198091501E-04, -1.917638872457070E-05,  5.705121853509455E-03,  9.878112276876760E-01, -6.950383631406928E-05,
2461399.833333333, A.D. 2026-Dec-25 08:00:00.0000, -5.055091197046427E-02,  9.864497380913597E-01,  4.896702862512124E-04, -1.755979657225048E-02, -9.643344019630107E-04, -1.970121251062450E-05,  5.704735071910393E-03,  9.877442585297810E-01, -6.440263666919327E-05,
2461400.833333333, A.D. 2026-Dec-26 08:00:00.0000, -6.810408576762500E-02,  9.853315702597892E-01,  4.697157644173796E-04, -1.754564964363774E-02, -1.271965297961315E-03, -2.020416035328464E-05,  5.704378295727617E-03,  9.876824846486675E-01, -5.911477352012891E-05,
2461401.833333333, A.D. 2026-Dec-27 08:00:00.0000, -8.564040860549166E-02,  9.839058941355633E-01,  4.492693580587780E-04, -1.752609484298526E-02, -1.579336257845796E-03, -2.068492931397290E-05,  5.704052576567497E-03,  9.876260881243336E-01, -5.364947630146871E-05,
2461402.833333333, A.D. 2026-Dec-28 08:00:00.0000, -1.031544738184095E-01,  9.821730138431503E-01,  4.283533884262544E-04, -1.750113462920353E-02, -1.886358607372833E-03, -2.114319767120083E-05,  5.703758912282150E-03,  9.875752417295177E-01, -4.801582648936036E-05,
2461403.833333333, A.D. 2026-Dec-29 08:00:00.0000, -1.206408778082899E-01,  9.801333230342103E-01,  4.069905726190129E-04, -1.747077402884396E-02, -2.192942535005761E-03, -2.157861743044896E-05,  5.703498252581214E-03,  9.875301099013460E-01, -4.222182301487698E-05,
2461404.833333333, A.D. 2026-Dec-30 08:00:00.0000, -1.380942237231476E-01,  9.777873050408020E-01,  3.852038994185241E-04, -1.743501920620931E-02, -2.498997687583436E-03, -2.199081257199345E-05,  5.703271500666023E-03,  9.874908490242821E-01, -3.627501191318161E-05,
2461405.833333333, A.D. 2026-Dec-31 08:00:00.0000, -1.555091207999671E-01,  9.751355344495177E-01,  3.630168257351911E-04, -1.739387800001037E-02, -2.804432371047681E-03, -2.237935714931442E-05,  5.703079520563258E-03,  9.874576086999083E-01, -3.018165813521816E-05,
